NUMESINI,CODNATSI,NUMPOLICE,DATESURV,ASSURESP,LIEUSINI,CODEINTE,INTERMEDIAIRE,ASSURE,IMMATRICULATION_ASSURE,DATE_OUVERTURE,DATE_CLOTURE,USER_CLOTURE,CODEGARA,MNT_RESERVE,MNT_REGLEMENT,MOTIF
909543,husband,read,2021-07-24,Dominic Cameron,include,3907,Gilbert LLC,Angela Mercado,788-NUR,2023-01-08,2025-02-17,herself,5680,25075,93335,learn
342117,list,agency,2023-11-20,Carrie Farrell,ever,2745,"James, Rios and Dawson",Andrew Cook,NWI 1821,2020-08-01,2023-04-29,again,7316,58784,66086,have
242572,draw,from,2022-04-16,Joseph Gilmore,according,4342,"Hatfield, Williams and Smith",Monique Walker,653I1,2020-06-28,2023-06-12,onto,3402,18170,10099,direction
111801,building,girl,2022-06-08,James Moss,late,2725,Cox-Brown,Ryan Bowen,56A 992,2024-05-28,2020-11-15,deep,7270,4320,20120,attorney
902669,land,sign,2023-12-30,Sara Sanchez,her,5851,Wells PLC,Hannah Williams,3P 9746R,2023-03-16,2025-01-10,affect,9923,92577,10676,actually
291779,myself,tax,2022-06-26,Carol Gray,use,9027,"Wade, Butler and Barr",Matthew Beard,352-RSE,2023-05-29,2020-12-17,start,5053,51278,48390,professional
169759,commercial,nearly,2022-12-30,Shannon Smith,society,3278,Parrish and Sons,Karen Goodwin,75R PN6,2025-04-19,2022-01-16,sign,3802,51492,37109,ahead
346834,human,national,2021-04-28,Joseph Paul,energy,7121,Valenzuela PLC,Marilyn Gallegos,85TA8,2020-01-28,2024-07-23,we,5209,82015,98526,game
367037,policy,audience,2023-03-16,Ashley Reed,beautiful,8166,"Hunter, Ramos and Ruiz",Jason Jordan,AJA-796,2021-06-28,2025-02-15,should,7606,84359,41822,century
111441,fire,none,2023-01-10,John Monroe,foreign,6090,Ritter-Daniel,Teresa Montes,660 5903,2020-05-05,2021-05-01,few,9503,96394,42347,well
770031,everything,stand,2021-08-12,Breanna Jones,office,2263,Heath-Mann,Jose Rivas,QRT-159,2020-03-27,2023-03-26,hold,3806,47750,9090,appear
930970,former,real,2023-01-18,Justin Smith,tree,3934,"Sheppard, Hayes and Lopez",Eric Obrien,C79 4DS,2020-10-08,2022-02-28,difficult,4962,34554,89904,dark
865643,his,improve,2022-06-26,Ian Jefferson,west,2633,Thomas-Walsh,Lisa Nicholson,KSP 017,2025-04-29,2022-10-11,one,1170,61469,15937,month
845743,reach,because,2022-04-29,Dana Zamora,prove,6877,"Santos, Harmon and Blankenship",Elizabeth Erickson,7KO3607,2025-01-11,2022-10-30,that,2687,92105,7792,treatment
790509,able,black,2020-03-05,Timothy Brown,case,4529,"Clark, Rowland and Thomas",Anna Gray DVM,43-H224,2021-10-27,2022-08-22,issue,5760,96133,45229,certain
143134,bit,ask,2021-10-30,Trevor Salazar Jr.,memory,4913,Meyer Ltd,Pamela Young,QXL-773,2021-03-01,2024-09-02,degree,1739,8614,14432,each
970422,fill,identify,2020-06-10,Christopher Fisher,government,9463,Myers-Thomas,Jonathan Bishop,122MS,2020-10-22,2022-06-14,happen,8458,63274,24208,soon
520984,exactly,policy,2023-04-09,Luis Berry,place,9256,"Whitaker, Reyes and Patel",Jose Fitzpatrick,93I IB8,2023-09-05,2024-01-31,available,1605,32898,64809,hand
614322,often,challenge,2021-01-12,Jason Hall,federal,9095,Byrd-Kelly,Jamie Anderson,195-639,2020-04-10,2022-06-27,much,3538,8918,73768,man
498191,statement,their,2025-04-06,Nicholas Powell,break,6826,"Cooper, Martin and Martin",Tina Edwards,8JE 610,2024-02-03,2024-01-02,think,8386,5784,5742,money
208721,thought,pressure,2023-03-03,Kimberly Gray,short,3455,Sparks and Sons,Matthew Brock,BUU-738,2022-04-02,2021-01-21,marriage,7238,31550,13631,kitchen
143134,bit,ask,2021-10-30,Trevor Salazar Jr.,memory,4913,Meyer Ltd,Pamela Young,QXL-773,2021-03-01,2024-09-02,degree,1739,8614,14432,each
210553,along,three,2024-10-13,Carlos Morris,suddenly,4735,Harrell-Parker,Jonathan Hayes,LPC-5876,2024-12-31,2024-01-05,past,4515,82168,73033,two
573021,measure,who,2023-01-29,Dr. Erica Myers,professional,6626,Harrison and Sons,Brian Jones,EGP 298,2024-05-30,2023-03-27,read,9475,58889,74412,work
311870,wide,moment,2022-10-09,Jeffrey Barnett,education,6606,White and Sons,Nancy Wolf,KRX 154,2020-12-15,2022-05-05,marriage,8106,65509,45363,teacher
288440,yet,spring,2020-07-21,Jill Hull,off,5218,Eaton PLC,Michael Lowe,87-RA49,2020-02-07,2022-02-25,heart,5662,32814,21941,choose
743460,perhaps,amount,2021-01-28,Lisa Smith,how,1338,Murray-Key,Gabrielle Arias,L17 5CK,2021-07-27,2023-02-13,thousand,9743,71722,40366,whether
334903,there,yard,2023-03-25,James Rodriguez,produce,7699,"Bush, Powell and Smith",Richard Hall,BEB 8468,2023-11-05,2023-05-27,create,2378,96265,36693,thought
128419,when,relationship,2022-01-01,Erin Johnson,me,3993,Miller LLC,Brian Parks,150-QVRY,2024-02-24,2023-01-30,attention,7429,64190,79605,ago
215466,soon,myself,2025-03-26,Danny Hernandez,head,7024,Weiss and Sons,Dana Hernandez,4YS45,2024-03-01,2022-07-03,standard,2650,9969,69309,become
642223,north,entire,2022-08-05,Gregory Richmond,history,1496,"Higgins, Barron and Cox",Brian Moody,HEJ 755,2021-10-29,2021-03-14,building,3897,60008,90102,game
884115,enough,their,2025-03-28,Juan Thomas,opportunity,3446,"Vincent, Olson and Reilly",Natalie Stewart,949 OUA,2023-08-22,2023-02-01,meeting,7448,22150,59031,central
994610,require,discussion,2023-02-02,Louis Wells,field,7975,Wilson-Watkins,Stephen Yates,YJS O86,2020-08-12,2023-05-18,face,2008,49524,9040,look
516968,move,score,2025-05-04,Matthew Edwards,authority,3983,"Diaz, Farrell and Morrison",Allison Zimmerman,883FF,2025-03-27,2020-02-22,new,9941,4097,18273,event
382595,onto,decide,2021-06-11,Kevin Valencia,all,3779,Simpson-Nelson,George Fisher,1PT 814,2022-07-23,2022-05-20,action,9990,74674,71177,approach
716994,she,view,2021-09-02,Gary Hunter,interview,3213,Landry and Sons,Sarah Lee,LZZ 961,2021-11-29,2025-03-17,develop,8776,56122,49235,weight
