NUMESINI,CODNATSI,NUMPOLICE,DATESURV,ASSURESP,LIEUSINI,CODEINTE,INTERMEDIAIRE,ASSURE,IMMATRICULATION_ASSURE,DATE_OUVERTURE,DATE_CLOTURE,DATE_REOUVERTURE,USER_REOUVERTURE,CODEGARA,MNT_RESERVE,MNT_REGLEMENT,MOTIF
420472,stop,organization,2022-08-12,Kyle Hall,energy,9607,Wilkinson Inc,April Jackson,3W 8H5UMJ,2022-07-27,2022-12-21,2021-08-23,site,4010,29759,22758,news
408636,over,admit,2024-11-18,Jose Morris,common,6006,Hamilton-Robinson,Brett Cannon,TKJ-5820,2022-04-29,2020-09-28,2023-09-21,and,5272,36347,24620,identify
617948,paper,indicate,2021-07-14,Elijah Perez,huge,8230,Sherman-Fernandez,Rachel Johnson,NHW 246,2024-12-27,2022-10-17,2022-06-15,natural,8311,5944,43160,within
255914,democratic,watch,2024-12-30,Sarah Burns,surface,6460,Arnold-Parks,Meagan Carpenter,P13 1RN,2020-02-04,2022-07-12,2020-12-30,type,6606,43960,77854,own
984554,else,fine,2021-12-19,Tiffany Middleton,return,6715,Livingston PLC,Matthew Vargas,484 SSX,2024-06-17,2021-12-20,2021-11-25,west,8832,65542,92908,despite
625338,almost,education,2021-01-18,Denise Sloan,feeling,8974,Barrett LLC,Gloria White,37M269,2020-05-31,2021-02-17,2021-09-11,marriage,1590,49070,96644,degree
935535,trip,blue,2020-09-14,Candace Ramirez,name,6440,Walker and Sons,Daniel Brady,6Y UG454,2022-02-19,2024-10-22,2024-04-03,against,1742,46071,62159,share
666679,garden,water,2023-06-03,Kelly Allen,mind,2127,Bowen LLC,William Bowers,346-BHX,2020-02-02,2024-08-18,2023-04-08,general,9412,60045,18967,may
139898,reason,smile,2023-01-15,Patrick Barton,site,3502,"Cuevas, Elliott and Combs",Ashlee Crawford,753-AEM,2024-03-31,2020-11-09,2025-02-13,environmental,8611,22945,31909,other
507221,very,lead,2021-02-14,Daniel Edwards,building,8815,Butler-Sutton,Susan Simmons,480HTM,2021-05-12,2021-04-03,2020-06-29,treatment,8543,47097,83529,six
806984,fast,professional,2022-06-28,Andrew Lynch,small,6305,Edwards LLC,Haley Hobbs,0M W5553,2020-07-21,2023-11-27,2022-07-17,hand,7754,29079,52267,bank
480740,own,generation,2024-01-15,Dr. Michael Williams,dog,6947,Taylor Group,Samantha Taylor,54HK698,2024-07-30,2024-04-08,2022-09-21,police,3538,83476,19373,say
617218,billion,catch,2023-07-05,Jennifer Lee,song,1131,Quinn-Evans,Desiree Jackson DDS,WKX-0598,2023-02-28,2025-05-03,2023-04-15,form,1406,3405,19864,to
813046,fact,institution,2022-09-09,William Hancock,set,2657,Kelley-Dorsey,Jamie Rivera,I66-SEA,2024-04-08,2022-08-13,2022-08-17,clear,1497,20817,4817,hot
780592,law,response,2022-04-17,Laurie Castro,blue,2577,"Lane, Grant and Hall",Robert Ellis,KIV-765,2021-03-30,2021-02-16,2023-02-25,live,2006,30064,54470,newspaper
288193,make,six,2020-04-09,Michael Figueroa,it,7676,"Smith, Johnson and Ramirez",Melissa Bradley,GKS 747,2021-06-11,2020-07-01,2024-06-25,learn,8452,43693,32109,tend
625338,almost,education,2021-01-18,Denise Sloan,feeling,8974,Barrett LLC,Gloria White,37M269,2020-05-31,2021-02-17,2021-09-11,marriage,1590,49070,96644,degree
275949,free,discuss,2025-04-11,Juan Martin,itself,7719,Cooley-Frank,Gary Brown,972BL,2023-01-12,2020-05-26,2022-06-11,discuss,8630,26863,45547,appear
133701,list,material,2020-10-29,Lisa Johnson,common,5835,Hayes-Morales,Donna Mack,660MW,2023-08-06,2020-11-12,2024-07-12,build,9912,88616,48616,partner
781887,democratic,heart,2024-03-11,Carl Lopez,actually,8854,Hodges-Richardson,Rodney Mendez,636 JUW,2023-02-02,2020-11-07,2021-11-05,exist,2489,61110,99156,maybe
563449,child,just,2024-08-23,Terri Riley,personal,5755,Cervantes-Velasquez,Marcus Mason,624 FZB,2023-12-16,2020-03-16,2022-04-08,article,2921,46122,55932,special
943720,realize,try,2025-03-26,Sean Torres,away,4005,Graham-Hill,Michael Tyler,424-DKZ,2020-03-15,2021-12-17,2024-11-10,film,7402,4716,52522,social
847592,themselves,current,2023-09-23,Rebecca Orozco,meeting,8691,"Salinas, Shelton and Randolph",Alicia Kelly,WBX1661,2024-11-03,2024-10-30,2023-07-05,least,4547,32944,93862,peace
709524,clear,memory,2022-12-12,Heather Johnson,assume,5718,Graham-Wolf,Mrs. Mary Cross,7N 52780,2023-05-24,2024-12-07,2021-02-18,run,7465,32607,69721,boy
420472,stop,organization,2022-08-12,Kyle Hall,energy,9607,Wilkinson Inc,April Jackson,3W 8H5UMJ,2022-07-27,2022-12-21,2021-08-23,site,4010,29759,22758,news
443007,find,man,2022-02-12,Thomas King,several,1527,"Brennan, Long and Riley",Robert Moore,581VVP,2024-11-29,2023-11-17,2024-11-28,improve,1107,24756,25345,statement
568348,year,glass,2021-01-26,Douglas Knight,your,6643,"Little, Anderson and Palmer",Christopher Armstrong,16-0625M,2022-09-12,2022-11-04,2021-01-30,manage,8645,77436,94669,against
608727,garden,decide,2020-03-06,Charles Wood,shake,3805,Hill PLC,Justin Bradley,CFN-035,2023-12-12,2022-07-06,2023-12-04,term,2721,64742,86704,agreement
241347,main,among,2021-11-14,Timothy Schaefer,system,4488,"Gonzalez, Jones and Tucker",Daniel Garcia,6MD 895,2022-06-25,2021-06-30,2022-05-04,think,8370,14328,83751,table
627513,huge,easy,2025-01-09,Norman Moore,model,9242,Mack-Miller,Penny King,7V 5977T,2025-04-24,2020-07-14,2020-01-21,others,8371,86133,52503,west
288193,make,six,2020-04-09,Michael Figueroa,it,7676,"Smith, Johnson and Ramirez",Melissa Bradley,GKS 747,2021-06-11,2020-07-01,2024-06-25,learn,8452,43693,32109,tend
898333,minute,couple,2023-07-09,John White,company,4685,Fisher LLC,Christopher Gordon,45S104,2021-06-12,2020-09-05,2024-02-20,voice,2885,1443,39961,yourself
984554,else,fine,2021-12-19,Tiffany Middleton,return,6715,Livingston PLC,Matthew Vargas,484 SSX,2024-06-17,2021-12-20,2021-11-25,west,8832,65542,92908,despite
661115,accept,east,2023-12-26,Dustin Smith,all,6028,Mccormick LLC,Gregory Reese,516 1FF,2020-06-25,2024-05-06,2021-01-21,dark,9780,66953,31513,good
568348,year,glass,2021-01-26,Douglas Knight,your,6643,"Little, Anderson and Palmer",Christopher Armstrong,16-0625M,2022-09-12,2022-11-04,2021-01-30,manage,8645,77436,94669,against
361279,middle,guess,2025-01-18,Shelby Arnold,compare,8606,"Butler, Mckee and Lambert",Michael Williams,SLV 134,2022-04-08,2020-01-31,2020-03-25,medical,1127,77401,34686,ago
568348,year,glass,2021-01-26,Douglas Knight,your,6643,"Little, Anderson and Palmer",Christopher Armstrong,16-0625M,2022-09-12,2022-11-04,2021-01-30,manage,8645,77436,94669,against
676292,reveal,trouble,2023-11-28,Tiffany Lynch,fish,4540,Fleming Group,Jessica Hurley,RGN-4633,2024-08-29,2020-01-22,2023-09-05,go,6182,895,98624,itself
172326,they,like,2021-06-21,Regina Young,voice,3264,Waters-Morgan,David Adams,HA9 3335,2022-02-26,2021-06-27,2021-08-07,quality,5478,94314,40673,sign
508269,organization,son,2021-03-18,Michael Jones,effect,3364,"Grant, Sanchez and Mcdonald",George Meyers,792 KQY,2023-11-25,2021-08-01,2024-10-23,once,6106,10340,38847,sister
911822,between,city,2023-12-15,Caitlin Wolfe,control,2186,"Carroll, Campbell and Silva",Jennifer Price,SH-7306,2024-04-04,2021-02-18,2020-11-11,kitchen,9697,77439,48698,say
463162,great,kitchen,2023-04-16,Christopher Hardin,while,7149,King PLC,Daniel Butler,EPS 916,2020-01-04,2022-09-12,2025-03-28,cost,1808,76103,41124,possible
964910,read,hair,2022-08-24,April Alvarez,growth,9528,Fuller-Cain,Melinda Klein,IZR 945,2023-12-02,2021-02-15,2021-02-23,question,3291,60536,15723,audience
814057,radio,join,2023-01-28,William White,officer,3954,"Collins, King and Williams",Scott Moore,2KXE341,2023-08-05,2021-05-02,2020-07-25,would,9987,57799,85034,management
984458,sense,live,2021-04-26,Matthew Blake,difficult,6242,"Martin, Perez and Smith",Adam Neal,GEG 495,2020-03-04,2024-01-28,2020-08-03,piece,4852,234,89187,entire
389850,fill,thank,2021-02-04,Jonathan Coleman,large,8510,Zamora-Barrera,Bradley Nelson DVM,0JW1830,2021-03-04,2024-02-06,2020-05-27,score,3509,47088,47672,service
178182,TV,paper,2021-11-13,James Chavez,game,6273,"Ibarra, Berg and Williams",Angela Oliver,87-6530E,2024-03-25,2020-07-14,2022-11-29,see,7648,47902,21226,well
408636,over,admit,2024-11-18,Jose Morris,common,6006,Hamilton-Robinson,Brett Cannon,TKJ-5820,2022-04-29,2020-09-28,2023-09-21,and,5272,36347,24620,identify
